Date,Problem Name,Pattern,Difficulty,LeetCode Link,Interview Frequency,Time Taken (min),First Attempt,Solution Approach,Time Complexity,Space Complexity,Review Date 1,Review Date 2,Confidence (1-10),Notes
,Same Tree,Trees,Easy,https://leetcode.com/problems/same-tree/,★★★★☆,,,,,,,,,"Compare trees recursively"
,Subtree of Another Tree,Trees,Easy,https://leetcode.com/problems/subtree-of-another-tree/,★★★☆☆,,,,,,,,,"Check if subtree exists"
,Lowest Common Ancestor of BST,Trees,Easy,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-search-tree/,★★★★★,,,,,,,,,"Use BST property"
,Binary Tree Level Order Traversal,Trees,Medium,https://leetcode.com/problems/binary-tree-level-order-traversal/,★★★★★,,,,,,,,,"BFS with queue"
,Validate Binary Search Tree,Trees,Medium,https://leetcode.com/problems/validate-binary-search-tree/,★★★★★,,,,,,,,,"In-order or bounds checking"
,Kth Smallest Element in BST,Trees,Medium,https://leetcode.com/problems/kth-smallest-element-in-a-bst/,★★★★☆,,,,,,,,,"In-order traversal"
,Binary Tree Maximum Path Sum,Trees,Hard,https://leetcode.com/problems/binary-tree-maximum-path-sum/,★★★★★,,,,,,,,,"Complex DFS with global max"
,Serialize and Deserialize Binary Tree,Trees,Hard,https://leetcode.com/problems/serialize-and-deserialize-binary-tree/,★★★★☆,,,,,,,,,"Tree encoding/decoding"
,Implement Trie,Tries,Medium,https://leetcode.com/problems/implement-trie-prefix-tree/,★★★★★,,,,,,,,,"Basic trie operations"
,Design Add and Search Words,Tries,Medium,https://leetcode.com/problems/design-add-and-search-words-data-structure/,★★★★☆,,,,,,,,,"Trie with wildcard search"
,Word Search II,Tries,Hard,https://leetcode.com/problems/word-search-ii/,★★★★★,,,,,,,,,"Backtracking + Trie optimization"
,Replace Words,Tries,Medium,https://leetcode.com/problems/replace-words/,★★★☆☆,,,,,,,,,"Trie for prefix matching"
,Longest Word in Dictionary,Tries,Medium,https://leetcode.com/problems/longest-word-in-dictionary/,★★★☆☆,,,,,,,,,"Build words incrementally"
,Maximum XOR of Two Numbers,Tries,Medium,https://leetcode.com/problems/maximum-xor-of-two-numbers-in-an-array/,★★★☆☆,,,,,,,,,"Binary trie for XOR"
,Word Squares,Tries,Hard,https://leetcode.com/problems/word-squares/,★★☆☆☆,,,,,,,,,"Trie + backtracking"
,Palindrome Pairs,Tries,Hard,https://leetcode.com/problems/palindrome-pairs/,★★★☆☆,,,,,,,,,"Reverse trie approach"
,Stream of Characters,Tries,Hard,https://leetcode.com/problems/stream-of-characters/,★★☆☆☆,,,,,,,,,"Reverse trie for streaming"
,Short Encoding of Words,Tries,Medium,https://leetcode.com/problems/short-encoding-of-words/,★★☆☆☆,,,,,,,,,"Suffix trie approach"
,Kth Largest Element in Stream,Heap,Easy,https://leetcode.com/problems/kth-largest-element-in-a-stream/,★★★★☆,,,,,,,,,"Min heap of size k"
,Last Stone Weight,Heap,Easy,https://leetcode.com/problems/last-stone-weight/,★★★☆☆,,,,,,,,,"Max heap for stone smashing"
,K Closest Points to Origin,Heap,Medium,https://leetcode.com/problems/k-closest-points-to-origin/,★★★★★,,,,,,,,,"Min heap with distance"
,Kth Largest Element in Array,Heap,Medium,https://leetcode.com/problems/kth-largest-element-in-an-array/,★★★★★,,,,,,,,,"Quick select or heap"
,Task Scheduler,Heap,Medium,https://leetcode.com/problems/task-scheduler/,★★★★☆,,,,,,,,,"Max heap + cooldown logic"
,Top K Frequent Words,Heap,Medium,https://leetcode.com/problems/top-k-frequent-words/,★★★★☆,,,,,,,,,"Min heap with frequency"
,Find Median from Data Stream,Heap,Hard,https://leetcode.com/problems/find-median-from-data-stream/,★★★★★,,,,,,,,,"Two heaps approach"
,Merge k Sorted Lists,Heap,Hard,https://leetcode.com/problems/merge-k-sorted-lists/,★★★★★,,,,,,,,,"Min heap for merging"
,Smallest Range Covering Elements,Heap,Hard,https://leetcode.com/problems/smallest-range-covering-elements-from-k-lists/,★★★☆☆,,,,,,,,,"Min heap + sliding window"
,IPO,Heap,Hard,https://leetcode.com/problems/ipo/,★★★☆☆,,,,,,,,,"Two heaps for capital/profit"
,Subsets,Backtracking,Medium,https://leetcode.com/problems/subsets/,★★★★★,,,,,,,,,"Choose/not choose pattern"
,Combination Sum,Backtracking,Medium,https://leetcode.com/problems/combination-sum/,★★★★★,,,,,,,,,"Recursive combination generation"
,Permutations,Backtracking,Medium,https://leetcode.com/problems/permutations/,★★★★★,,,,,,,,,"Swap-based or used array"
,Subsets II,Backtracking,Medium,https://leetcode.com/problems/subsets-ii/,★★★★☆,,,,,,,,,"Handle duplicates with sorting"
,Combination Sum II,Backtracking,Medium,https://leetcode.com/problems/combination-sum-ii/,★★★★☆,,,,,,,,,"Skip duplicates in recursion"
,Word Search,Backtracking,Medium,https://leetcode.com/problems/word-search/,★★★★★,,,,,,,,,"2D grid DFS backtracking"
,Palindrome Partitioning,Backtracking,Medium,https://leetcode.com/problems/palindrome-partitioning/,★★★★☆,,,,,,,,,"Generate all palindrome splits"
,Letter Combinations of Phone Number,Backtracking,Medium,https://leetcode.com/problems/letter-combinations-of-a-phone-number/,★★★★☆,,,,,,,,,"Map digits to letters"
,N-Queens,Backtracking,Hard,https://leetcode.com/problems/n-queens/,★★★★☆,,,,,,,,,"Classic backtracking problem"
,Sudoku Solver,Backtracking,Hard,https://leetcode.com/problems/sudoku-solver/,★★★☆☆,,,,,,,,,"Constraint satisfaction"
,Number of Islands,Graphs,Medium,https://leetcode.com/problems/number-of-islands/,★★★★★,,,,,,,,,"DFS/BFS connected components"
,Clone Graph,Graphs,Medium,https://leetcode.com/problems/clone-graph/,★★★★☆,,,,,,,,,"DFS with visited map"
,Max Area of Island,Graphs,Medium,https://leetcode.com/problems/max-area-of-island/,★★★★☆,,,,,,,,,"DFS area calculation"
,Pacific Atlantic Water Flow,Graphs,Medium,https://leetcode.com/problems/pacific-atlantic-water-flow/,★★★★☆,,,,,,,,,"DFS from borders"
,Surrounded Regions,Graphs,Medium,https://leetcode.com/problems/surrounded-regions/,★★★☆☆,,,,,,,,,"DFS from boundary O's"
,Rotting Oranges,Graphs,Medium,https://leetcode.com/problems/rotting-oranges/,★★★★★,,,,,,,,,"Multi-source BFS"
,Course Schedule,Graphs,Medium,https://leetcode.com/problems/course-schedule/,★★★★★,,,,,,,,,"Topological sort cycle detection"
,Course Schedule II,Graphs,Medium,https://leetcode.com/problems/course-schedule-ii/,★★★★☆,,,,,,,,,"Topological sort ordering"
,Word Ladder,Graphs,Hard,https://leetcode.com/problems/word-ladder/,★★★★★,,,,,,,,,"BFS shortest path"
,Alien Dictionary,Graphs,Hard,https://leetcode.com/problems/alien-dictionary/,★★★★☆,,,,,,,,,"Topological sort on characters"
,Climbing Stairs,Dynamic Programming,Easy,https://leetcode.com/problems/climbing-stairs/,★★★★★,,,,,,,,,"Basic DP - Fibonacci variant"
,House Robber,Dynamic Programming,Medium,https://leetcode.com/problems/house-robber/,★★★★★,,,,,,,,,"1D DP with skip pattern"
,Coin Change,Dynamic Programming,Medium,https://leetcode.com/problems/coin-change/,★★★★★,,,,,,,,,"Classic unbounded knapsack"
,Longest Increasing Subsequence,Dynamic Programming,Medium,https://leetcode.com/problems/longest-increasing-subsequence/,★★★★★,,,,,,,,,"O(n²) DP or O(n log n) binary search"
,Longest Common Subsequence,Dynamic Programming,Medium,https://leetcode.com/problems/longest-common-subsequence/,★★★★★,,,,,,,,,"2D DP classic problem"
,Word Break,Dynamic Programming,Medium,https://leetcode.com/problems/word-break/,★★★★★,,,,,,,,,"1D DP with substring check"
,Combination Sum IV,Dynamic Programming,Medium,https://leetcode.com/problems/combination-sum-iv/,★★★☆☆,,,,,,,,,"DP counting combinations"
,House Robber II,Dynamic Programming,Medium,https://leetcode.com/problems/house-robber-ii/,★★★★☆,,,,,,,,,"Circular array modification"
,Decode Ways,Dynamic Programming,Medium,https://leetcode.com/problems/decode-ways/,★★★★☆,,,,,,,,,"1D DP with digit validation"
,Best Time to Buy and Sell Stock with Cooldown,Dynamic Programming,Medium,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-with-cooldown/,★★★★☆,,,,,,,,,"State machine DP"
,Merge Intervals,Intervals,Medium,https://leetcode.com/problems/merge-intervals/,★★★★★,,,,,,,,,"Sort by start time + merge"
,Insert Interval,Intervals,Medium,https://leetcode.com/problems/insert-interval/,★★★★★,,,,,,,,,"Insert and merge logic"
,Non-overlapping Intervals,Intervals,Medium,https://leetcode.com/problems/non-overlapping-intervals/,★★★★☆,,,,,,,,,"Greedy interval scheduling"
,Meeting Rooms,Intervals,Easy,https://leetcode.com/problems/meeting-rooms/,★★★★☆,,,,,,,,,"Sort and check overlaps"
,Meeting Rooms II,Intervals,Medium,https://leetcode.com/problems/meeting-rooms-ii/,★★★★★,,,,,,,,,"Min heap or sweep line"
,Minimum Number of Arrows,Intervals,Medium,https://leetcode.com/problems/minimum-number-of-arrows-to-burst-balloons/,★★★☆☆,,,,,,,,,"Greedy interval merging"
,Car Pooling,Intervals,Medium,https://leetcode.com/problems/car-pooling/,★★★☆☆,,,,,,,,,"Sweep line with capacity"
,My Calendar I,Intervals,Medium,https://leetcode.com/problems/my-calendar-i/,★★★☆☆,,,,,,,,,"Interval tree or simple check"
,Employee Free Time,Intervals,Hard,https://leetcode.com/problems/employee-free-time/,★★★☆☆,,,,,,,,,"Merge all intervals + find gaps"
,Range Module,Intervals,Hard,https://leetcode.com/problems/range-module/,★★☆☆☆,,,,,,,,,"Segment tree or interval management"
,Maximum Subarray,Greedy,Easy,https://leetcode.com/problems/maximum-subarray/,★★★★★,,,,,,,,,"Kadane's algorithm"
,Jump Game,Greedy,Medium,https://leetcode.com/problems/jump-game/,★★★★★,,,,,,,,,"Greedy reach tracking"
,Jump Game II,Greedy,Medium,https://leetcode.com/problems/jump-game-ii/,★★★★☆,,,,,,,,,"BFS or greedy jumps"
,Gas Station,Greedy,Medium,https://leetcode.com/problems/gas-station/,★★★★☆,,,,,,,,,"Greedy start point finding"
,Hand of Straights,Greedy,Medium,https://leetcode.com/problems/hand-of-straights/,★★★☆☆,,,,,,,,,"Greedy consecutive grouping"
,Partition Labels,Greedy,Medium,https://leetcode.com/problems/partition-labels/,★★★★☆,,,,,,,,,"Last occurrence tracking"
,Valid Parenthesis String,Greedy,Medium,https://leetcode.com/problems/valid-parenthesis-string/,★★★☆☆,,,,,,,,,"Balance range tracking"
,Merge Triplets,Greedy,Medium,https://leetcode.com/problems/merge-triplets-to-form-target-triplet/,★★★☆☆,,,,,,,,,"Greedy valid triplet selection"
,Candy,Greedy,Hard,https://leetcode.com/problems/candy/,★★★★☆,,,,,,,,,"Two pass greedy approach"
,Create Maximum Number,Greedy,Hard,https://leetcode.com/problems/create-maximum-number/,★★☆☆☆,,,,,,,,,"Monotonic stack + merge"
,Single Number,Bit Manipulation,Easy,https://leetcode.com/problems/single-number/,★★★★★,,,,,,,,,"XOR properties"
,Number of 1 Bits,Bit Manipulation,Easy,https://leetcode.com/problems/number-of-1-bits/,★★★★☆,,,,,,,,,"Brian Kernighan's algorithm"
,Counting Bits,Bit Manipulation,Easy,https://leetcode.com/problems/counting-bits/,★★★★☆,,,,,,,,,"DP with bit manipulation"
,Reverse Bits,Bit Manipulation,Easy,https://leetcode.com/problems/reverse-bits/,★★★☆☆,,,,,,,,,"Bit by bit reversal"
,Missing Number,Bit Manipulation,Easy,https://leetcode.com/problems/missing-number/,★★★★☆,,,,,,,,,"XOR or math approach"
,Sum of Two Integers,Bit Manipulation,Medium,https://leetcode.com/problems/sum-of-two-integers/,★★★★☆,,,,,,,,,"XOR + AND with carry"
,Single Number II,Bit Manipulation,Medium,https://leetcode.com/problems/single-number-ii/,★★★☆☆,,,,,,,,,"Bit counting approach"
,Single Number III,Bit Manipulation,Medium,https://leetcode.com/problems/single-number-iii/,★★★☆☆,,,,,,,,,"XOR + bit grouping"
,Bitwise AND of Numbers Range,Bit Manipulation,Medium,https://leetcode.com/problems/bitwise-and-of-numbers-range/,★★★☆☆,,,,,,,,,"Find common prefix"
,Maximum XOR of Two Numbers,Bit Manipulation,Medium,https://leetcode.com/problems/maximum-xor-of-two-numbers-in-an-array/,★★★☆☆,,,,,,,,,"Trie or bit manipulation"
,Rotate Array,Arrays & Hashing,Medium,https://leetcode.com/problems/rotate-array/,★★★★☆,,,,,,,,,"Three reversals approach"
,Find All Duplicates in Array,Arrays & Hashing,Medium,https://leetcode.com/problems/find-all-duplicates-in-an-array/,★★★★☆,,,,,,,,,"Use array indices as markers"
,First Missing Positive,Arrays & Hashing,Hard,https://leetcode.com/problems/first-missing-positive/,★★★★★,,,,,,,,,"Cyclic sort or index marking"
,Majority Element,Arrays & Hashing,Easy,https://leetcode.com/problems/majority-element/,★★★★★,,,,,,,,,"Boyer-Moore voting algorithm"
,Spiral Matrix,Arrays & Hashing,Medium,https://leetcode.com/problems/spiral-matrix/,★★★★☆,,,,,,,,,"Layer by layer traversal"
,Set Matrix Zeroes,Arrays & Hashing,Medium,https://leetcode.com/problems/set-matrix-zeroes/,★★★★☆,,,,,,,,,"Use first row/col as markers"
,Median of Two Sorted Arrays,Arrays & Hashing,Hard,https://leetcode.com/problems/median-of-two-sorted-arrays/,★★★★★,,,,,,,,,"Binary search on partitions"
,Longest Palindromic Substring,Two Pointers,Medium,https://leetcode.com/problems/longest-palindromic-substring/,★★★★★,,,,,,,,,"Expand around centers"
,Remove Element,Two Pointers,Easy,https://leetcode.com/problems/remove-element/,★★★☆☆,,,,,,,,,"Two pointers for in-place removal"
,Palindromic Substrings,Two Pointers,Medium,https://leetcode.com/problems/palindromic-substrings/,★★★★☆,,,,,,,,,"Expand around all centers"
,Squares of Sorted Array,Two Pointers,Easy,https://leetcode.com/problems/squares-of-a-sorted-array/,★★★★☆,,,,,,,,,"Two pointers from ends"
,Minimum Size Subarray Sum,Sliding Window,Medium,https://leetcode.com/problems/minimum-size-subarray-sum/,★★★★☆,,,,,,,,,"Variable window size"
,Longest Substring with At Most K Distinct,Sliding Window,Medium,https://leetcode.com/problems/longest-substring-with-at-most-k-distinct-characters/,★★★★☆,,,,,,,,,"Sliding window with map"
,Subarrays with K Different Integers,Sliding Window,Hard,https://leetcode.com/problems/subarrays-with-k-different-integers/,★★★☆☆,,,,,,,,,"At most K - at most K-1"
,Max Consecutive Ones III,Sliding Window,Medium,https://leetcode.com/problems/max-consecutive-ones-iii/,★★★★☆,,,,,,,,,"Sliding window with flip count"
,Next Greater Element I,Stack,Easy,https://leetcode.com/problems/next-greater-element-i/,★★★★☆,,,,,,,,,"Monotonic stack + HashMap"
,Next Greater Element II,Stack,Medium,https://leetcode.com/problems/next-greater-element-ii/,★★★★☆,,,,,,,,,"Circular array with stack"
,Remove K Digits,Stack,Medium,https://leetcode.com/problems/remove-k-digits/,★★★★☆,,,,,,,,,"Monotonic stack for lexicographically smallest"
,Asteroid Collision,Stack,Medium,https://leetcode.com/problems/asteroid-collision/,★★★★☆,,,,,,,,,"Stack for collision simulation"
,Online Stock Span,Stack,Medium,https://leetcode.com/problems/online-stock-span/,★★★★☆,,,,,,,,,"Monotonic stack for previous greater"
,Capacity To Ship Packages,Binary Search,Medium,https://leetcode.com/problems/capacity-to-ship-packages-within-d-days/,★★★★☆,,,,,,,,,"Binary search on answer"
,Split Array Largest Sum,Binary Search,Hard,https://leetcode.com/problems/split-array-largest-sum/,★★★★☆,,,,,,,,,"Binary search + greedy validation"
,Sqrt(x),Binary Search,Easy,https://leetcode.com/problems/sqrtx/,★★★★☆,,,,,,,,,"Binary search on answer"
,Find K-th Smallest Pair Distance,Binary Search,Hard,https://leetcode.com/problems/find-k-th-smallest-pair-distance/,★★★☆☆,,,,,,,,,"Binary search + two pointers"
,Intersection of Two Linked Lists,Linked List,Easy,https://leetcode.com/problems/intersection-of-two-linked-lists/,★★★★★,,,,,,,,,"Two pointers with cycle"
,Palindrome Linked List,Linked List,Easy,https://leetcode.com/problems/palindrome-linked-list/,★★★★★,,,,,,,,,"Reverse half + compare"
,Sort List,Linked List,Medium,https://leetcode.com/problems/sort-list/,★★★★☆,,,,,,,,,"Merge sort on linked list"
,Remove Duplicates from Sorted List II,Linked List,Medium,https://leetcode.com/problems/remove-duplicates-from-sorted-list-ii/,★★★☆☆,,,,,,,,,"Skip all duplicates"
,Rotate List,Linked List,Medium,https://leetcode.com/problems/rotate-list/,★★★☆☆,,,,,,,,,"Make circular + break at right point"
,Swap Nodes in Pairs,Linked List,Medium,https://leetcode.com/problems/swap-nodes-in-pairs/,★★★★☆,,,,,,,,,"Iterative or recursive swapping"
,Flatten Binary Tree to Linked List,Trees,Medium,https://leetcode.com/problems/flatten-binary-tree-to-linked-list/,★★★★☆,,,,,,,,,"Morris traversal or recursion"
,Construct Binary Tree from Preorder and Inorder,Trees,Medium,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal/,★★★★★,,,,,,,,,"Recursive construction with indices"
,Binary Tree Right Side View,Trees,Medium,https://leetcode.com/problems/binary-tree-right-side-view/,★★★★★,,,,,,,,,"Level order traversal rightmost"
,Path Sum II,Trees,Medium,https://leetcode.com/problems/path-sum-ii/,★★★★☆,,,,,,,,,"DFS with path tracking"
,Diameter of Binary Tree,Trees,Easy,https://leetcode.com/problems/diameter-of-binary-tree/,★★★★★,,,,,,,,,"DFS with global max"
,Balanced Binary Tree,Trees,Easy,https://leetcode.com/problems/balanced-binary-tree/,★★★★☆,,,,,,,,,"Check height difference recursively"
,Binary Tree Zigzag Level Order,Trees,Medium,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal/,★★★★☆,,,,,,,,,"BFS with direction flag"
,Lowest Common Ancestor of Binary Tree,Trees,Medium,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree/,★★★★★,,,,,,,,,"DFS search for both nodes"
,Count Good Nodes in Binary Tree,Trees,Medium,https://leetcode.com/problems/count-good-nodes-in-binary-tree/,★★★★☆,,,,,,,,,"DFS with max value tracking"
,Find Largest Value in Each Tree Row,Heap,Medium,https://leetcode.com/problems/find-largest-value-in-each-tree-row/,★★★☆☆,,,,,,,,,"Level order traversal"
,Reorganize String,Heap,Medium,https://leetcode.com/problems/reorganize-string/,★★★★☆,,,,,,,,,"Max heap + greedy placement"
,Ugly Number II,Heap,Medium,https://leetcode.com/problems/ugly-number-ii/,★★★★☆,,,,,,,,,"Min heap with three pointers"
,Network Delay Time,Graphs,Medium,https://leetcode.com/problems/network-delay-time/,★★★★☆,,,,,,,,,"Dijkstra's shortest path"
,Cheapest Flights Within K Stops,Graphs,Medium,https://leetcode.com/problems/cheapest-flights-within-k-stops/,★★★★☆,,,,,,,,,"Modified Dijkstra or Bellman-Ford"
